latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-0.9296,101.7016,310,1.5,1.2,2023-01-01,0640,Aqua,MODIS,21,61.03,271.1,16.2,D,0
-1.3048,101.8272,318.6,1.5,1.2,2023-01-01,0640,Aqua,MODIS,66,61.03,276.7,27.5,D,0
-2.5064,120.3362,311.4,1,1,2023-01-02,0543,Aqua,MODIS,66,61.03,286.2,6.5,D,0
-2.5153,120.3375,307.8,1,1,2023-01-02,0543,Aqua,MODIS,38,61.03,285.7,4,D,0
-2.3944,120.8498,320.5,1,1,2023-01-02,0543,Aqua,MODIS,54,61.03,291.2,10.6,D,0
-2.7547,121.7294,344.8,1.1,1,2023-01-02,0543,Aqua,MODIS,93,61.03,296.3,50.1,D,0
-2.7533,121.7388,310.4,1.1,1,2023-01-02,0543,Aqua,MODIS,47,61.03,294.4,4.6,D,0
-2.9122,121.1542,312.8,1,1,2023-01-02,0543,Aqua,MODIS,63,61.03,294.9,6.7,D,0
-2.9427,121.7032,328.8,1,1,2023-01-02,0543,Aqua,MODIS,83,61.03,295.8,23.1,D,0
-4.0833,122.5457,309.8,1.1,1,2023-01-02,0543,Aqua,MODIS,59,61.03,276,7.3,D,0
-2.0067,121.434,321.2,1,1,2023-01-02,0543,Aqua,MODIS,40,61.03,298.7,10.3,D,2
-1.7585,121.6811,313,1.1,1,2023-01-02,0543,Aqua,MODIS,60,61.03,290.6,5.8,D,0
-1.5733,121.179,314.3,1,1,2023-01-02,0543,Aqua,MODIS,69,61.03,293.9,8.8,D,0
-1.3757,121.7155,337.1,1.1,1,2023-01-02,0543,Aqua,MODIS,84,61.03,287.2,35.6,D,0
-1.089,121.4764,320.1,1.1,1,2023-01-02,0543,Aqua,MODIS,65,61.03,298,7.4,D,0
-2.9502,116.2845,310.1,1.5,1.2,2023-01-02,0543,Aqua,MODIS,61,61.03,285.3,9,D,0
-2.5051,120.3451,326.8,1,1,2023-01-02,0543,Aqua,MODIS,83,61.03,287.1,20.7,D,0
-0.4483,119.9781,315.4,1,1,2023-01-02,0544,Aqua,MODIS,59,61.03,292.2,9,D,0
1.1989,117.7427,310.6,1.1,1,2023-01-02,0544,Aqua,MODIS,42,61.03,289.1,6.4,D,0
1.3216,117.6297,309.7,1.1,1,2023-01-02,0544,Aqua,MODIS,0,61.03,286.6,8.6,D,0
1.3202,117.62,314.1,1.1,1,2023-01-02,0544,Aqua,MODIS,59,61.03,289.2,13,D,0
2.2738,117.9747,310.5,1.1,1,2023-01-02,0544,Aqua,MODIS,51,61.03,281.3,6.6,D,0
